tags_0,row,column,label,symbol,icon,group,pronounce
people,1,5,Sally,,,,
people,1,6,Rebecca ,,,,
people,1,7,Bobby,,,,
places,1,1,UNC,unc.png,,,youensee
places,1,2,office,,,,
places,1,3,home,,,,
places,1,4,park,,,,
places,1,5,Harris Teeter,harris_teeter.png,,,
describe,1,1,red,,,,
describe,1,2,orange,,,,
describe,1,3,yellow,,,,
describe,1,4,green,,,,
describe,1,5,blue,,,,
describe,1,6,pink,,,,
describe,1,7,purple,,,,
describe,1,8,black,,,,
describe,4,5,loud ,,,,
describe,5,5,quiet,,,,
describe,4,6,scary,,,,
wh-,,,who,,,,
wh-,,,what,,,,
wh-,,,where,,,,
wh-,,,when ,,,,
wh-,,,how ,,,,
wh-,4,10,Delete,,,,
wh-,5,10,Clear,,,,
wh-,6,1,Close,,,,
wh-,6,10,Speak,,,,
kb,1,1,q,,,,
kb,1,2,w,,,,
kb,1,3,e,,,,
kb,1,4,r,,,,
kb,1,5,t,,,,
kb,1,6,y,,,,
kb,1,7,u,,,,
kb,1,8,i,,,,
kb,1,9,o,,,,
kb,1,10,p,,,,
kb,2,2,a,,,,
kb,2,3,s,,,,
kb,2,4,d,,,,
kb,2,5,f,,,,
kb,2,6,g,,,,
kb,2,7,h,,,,
kb,2,8,j,,,,
kb,2,9,k,,,,
kb,2,10,l,,,,
kb,3,3,z,,,,
kb,3,4,x,,,,
kb,3,5,c,,,,
kb,3,6,v,,,,
kb,3,7,b,,,,
kb,3,8,n,,,,
kb,3,9,m,,,,
kb,4,1,CAPS,,,caps,
kb,4,4,SPACE,,,,
kb,4,5,SPACE,,,,
kb,4,6,SPACE,,,,
kb,4,10,Delete,,,,
kb,5,8,.,,,,
kb,5,9,",",,,,
kb,6,2,Numbers,num.png,,num,
kb,6,8,?,,,,
kb,6,9,!,,,,
num,1,1,1,one.png,,,
num,1,2,2,two.png,,,
num,1,3,3,three.png,,,
num,2,1,4,four.png,,,
num,2,2,5,five.png,,,
num,2,3,6,six.png,,,
num,3,1,7,seven.png,,,
num,3,2,8,eight.png,,,
num,3,3,9,nine.png,,,
num,4,2,0,zero.png,,,
things,1,1,Food,food.png,,food,
food,1,1,apple,apple.png,apple,,
food,1,2,pizza,pizza.png,pizza,,
caps,1,1,Q,,,,
caps,1,2,W,,,,
caps,1,3,E,,,,
caps,1,4,R,,,,
caps,1,5,T,,,,
caps,1,6,Y,,,,
caps,1,7,U,,,,
caps,1,8,I,,,,
caps,1,9,O,,,,
caps,1,10,P,,,,
caps,2,1,A,,,,
caps,2,2,S,,,,
caps,2,3,D,,,,
caps,2,4,F,,,,
caps,2,5,G,,,,
caps,2,6,H,,,,
caps,2,7,J,,,,
caps,2,8,K,,,,
caps,2,9,L,,,,
caps,2,10,Z,,,,
caps,3,1,X,,,,
caps,3,2,C,,,,
caps,3,3,V,,,,
caps,3,4,B,,,,
caps,3,5,N,,,,
caps,3,6,M,,,,
caps,5,8,.,,,,
caps,5,9,",",,,,
caps,6,2,Numbers,num.png,,num,
caps,6,8,?,,,,
caps,6,9,!,,,,
caps,4,1,lower,,,kb,
*,4,10,Delete,,,,
*,5,10,Clear,,,,
*,6,1,Close,,,,
*,6,10,Speak,,,,
caps,4,4,SPACE,,,,
caps,4,5,SPACE,,,,
caps,4,6,SPACE,,,,
